Subject Code,Subject Title,Subject Group Code,Component Code,For Every (Week),Start Week,End Week,Day of Week,Start Time,End Time,Venue,Teaching Staff,Remark
ABCT3103,ENVIRONMENTAL SCIENCE,"1001, 1002, 1009",LAB001,1,1,13,Fri,8:30,11:20,"Y1118, Y1120","FANG, James, SIU, Ka Chai",
ABCT3103,ENVIRONMENTAL SCIENCE,"1001, 1002, 1009",LEC001,1,1,13,Wed,8:30,10:20,N003,"FANG, James",
ABCT3103,ENVIRONMENTAL SCIENCE,"1001, 1002, 1009",TUT001,1,1,13,Thu,11:30,12:20,PQ306,"FANG, James",
ABCT3112,DNA TECHNOLOGY,1002,LAB001,1,1,13,Mon,14:30,17:20,"Y1118, Y1120","LEE, terence KW, LEUNG Yun Chung, wai-ting wong",
ABCT3112,DNA TECHNOLOGY,1002,LEC001,1,1,13,Wed,13:30,15:20,Y409,"LEE, terence KW, LEUNG Yun Chung",
ABCT3112,DNA TECHNOLOGY,1002,TUT001,1,1,13,Mon,17:30,18:20,Y409,"LEE, terence KW, LEUNG Yun Chung",
ABCT3113,BIOCHEMICAL TECHNIQUES,1002,LAB001,1,1,13,Thu,16:30,19:20,"Y1118, Y1120","CHOW Ming Cheung, Iris L K Wong",
ABCT3113,BIOCHEMICAL TECHNIQUES,1002,LAB001,1,4,4,Sat,8:30,17:20,"Y1118, Y1120","CHOW Ming Cheung, Iris L K Wong",
ABCT3113,BIOCHEMICAL TECHNIQUES,1002,LEC001,1,1,13,Wed,10:30,12:20,W208,CHOW Ming Cheung,
ABCT3113,BIOCHEMICAL TECHNIQUES,1002,TUT001,1,1,13,Fri,8:30,10:20,Y409,CHOW Ming Cheung,
ABCT3276,APPLIED CHEMISTRY-ENVIRONMENTAL CHEMISTRY,1003,LTL001,1,1,13,Thu,8:30,10:20,R408,"LEUNG, kingchifranco",
ABCT3276,APPLIED CHEMISTRY-ENVIRONMENTAL CHEMISTRY,1003,LTL001,1,1,13,Wed,13:30,14:20,P308,"LEUNG, kingchifranco",
ABCT3391,ECOLOGY AND ECOSYSTEM,"1117, 1118",LEC001,1,1,13,Wed,8:30,10:20,N003,"FANG, James",
ABCT3391,ECOLOGY AND ECOSYSTEM,"1117, 1118",TUT001,1,1,13,Fri,11:30,12:20,QR514,"FANG, James, Wesley Chan",
ABCT3402,FOOD CHEMISTRY,"1009, 1115",LAB001,1,6,8,Wed,13:30,16:20,Y1315,mankin wong,
ABCT3402,FOOD CHEMISTRY,"1009, 1115",LEC001,1,1,13,Mon,15:30,17:20,Y303,mankin wong,
ABCT3402,FOOD CHEMISTRY,"1009, 1115",TUT001,1,1,13,Thu,10:30,11:20,W208,mankin wong,
